Trap.Station.Latitude,Trap.Station.Longitude,Date.Time,StationName,Individual.ID,Sex,Beach
10.80369,-85.68534,12/28/2022,AMSTAR,Amanda,Female,Naranjo
10.78209,-85.6667,05/23/2022,XAVI,Amanda,Female,Naranjo
10.76491,-85.65644,12/24/2022,CREW,Andrade,Male,Naranjo
10.8555,-85.79684,06/04/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,06/17/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,06/18/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,06/22/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,07/01/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,07/07/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,07/12/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,07/14/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,07/22/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,07/30/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,08/01/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,08/09/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,08/10/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,08/11/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,08/17/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,08/29/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,09/01/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,09/07/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,09/17/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,09/18/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,09/19/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,09/30/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,10/03/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,10/12/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,10/13/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,10/14/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,10/21/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,11/01/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,12/30/2022,MATA,Andrea,Female,Potrero Grande
10.8555,-85.79684,10/15/2022,PATO,Andrea,Female,Potrero Grande
10.8555,-85.79684,10/25/2022,PATO,Andrea,Female,Potrero Grande
10.8555,-85.79684,10/29/2022,PATO,Andrea,Female,Potrero Grande
10.8555,-85.79684,11/09/2022,PATO,Andrea,Female,Potrero Grande
10.8555,-85.79684,11/24/2022,PATO,Andrea,Female,Potrero Grande
10.8555,-85.79684,12/29/2022,PATO,Andrea,Female,Potrero Grande
10.80168,-85.69473,12/09/2022,JEUC,Ben,Male,Nancite
10.80168,-85.69473,02/15/2022,JEUC,Ben,Male,Nancite
10.80168,-85.69473,05/20/2022,JEUC,Ben,Male,Nancite
10.80369,-85.68534,04/10/2022,AMSTAR,Ben,Male,Naranjo
10.80369,-85.68534,04/11/2022,AMSTAR,Ben,Male,Naranjo
10.80369,-85.68534,05/21/2022,AMSTAR,Ben,Male,Naranjo
10.80371,-85.69659,06/09/2022,CALU,Ben,Male,Nancite
10.80762,-85.70203,04/15/2022,GIUL,Ben,Male,Nancite
10.80762,-85.70203,04/25/2022,GIUL,Ben,Male,Nancite
10.80762,-85.70203,04/28/2022,GIUL,Ben,Male,Nancite
10.80762,-85.70203,04/30/2022,GIUL,Ben,Male,Nancite
10.80762,-85.70203,05/16/2022,GIUL,Ben,Male,Nancite
10.80371,-85.69659,02/04/2022,CALU,Ben,Male,Nancite
10.80371,-85.69659,07/08/2022,CALU,Ben,Male,Nancite
10.80762,-85.70203,06/12/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,06/15/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,06/16/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,06/17/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,07/01/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,07/18/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,07/19/2022,JAEM,Ben,Male,Nancite
10.80168,-85.69473,06/04/2022,JEUC,Ben,Male,Nancite
10.80762,-85.70203,04/22/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,04/27/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,04/29/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,07/10/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,08/07/2022,JAEM,Ben,Male,Nancite
10.80762,-85.70203,12/13/2022,JAEM,Ben,Male,Nancite
10.80371,-85.69659,04/04/2022,CALU,Ben,Male,Nancite
10.80369,-85.68534,04/26/2022,AMSTAR,Ben,Male,Naranjo
10.80762,-85.70203,01/30/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,03/31/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,04/24/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,05/02/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,05/13/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,06/29/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,08/04/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,08/05/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,08/30/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,11/13/2022,LUCI,Ben,Male,Nancite
10.80762,-85.70203,12/05/2022,LUCI,Ben,Male,Nancite
10.81126,-85.70466,01/31/2022,LUDI,Ben,Male,Tule
10.80371,-85.69659,05/17/2022,CALU,Ben,Male,Nancite
10.80371,-85.69659,07/21/2022,CALU,Ben,Male,Nancite
10.80371,-85.69659,09/01/2022,CALU,Ben,Male,Nancite
10.80168,-85.69473,05/23/2022,JEUC,Ben,Male,Nancite
10.80168,-85.69473,05/25/2022,JEUC,Ben,Male,Nancite
10.80168,-85.69473,06/30/2022,JEUC,Ben,Male,Nancite
10.80168,-85.69473,12/08/2022,JEUC,Ben,Male,Nancite
10.80168,-85.69473,12/15/2022,JEUC,Ben,Male,Nancite
10.80371,-85.69659,05/30/2022,CALU,Ben,Male,Nancite
10.80369,-85.68534,05/22/2022,AMSTAR,Ben,Male,Naranjo
10.87002,-85.8586,03/26/2022,OCTA,Bruno,Male,Coloradas
10.87002,-85.8586,03/04/2022,OCTA,Carlos,Male,Coloradas
10.87002,-85.8586,03/13/2022,OCTA,Carlos,Male,Coloradas
10.87002,-85.8586,04/10/2022,OCTA,Carlos,Male,Coloradas
10.87002,-85.8586,04/22/2022,OCTA,Carlos,Male,Coloradas
10.80371,-85.69659,12/22/2022,CALU,Cub1,Unknow,Nancite
10.80369,-85.68534,10/31/2022,AMSTAR,Cub1,Unknow,Naranjo
10.80369,-85.68534,12/28/2022,AMSTAR,Cub1,Unknow,Naranjo
10.80371,-85.69659,12/22/2022,CALU,Cub2,Unknow,Nancite
10.80369,-85.68534,10/31/2022,AMSTAR,Cub2,Unknow,Naranjo
10.80369,-85.68534,12/28/2022,AMSTAR,Cub2,Unknow,Naranjo
10.80168,-85.69473,12/22/2022,JEUC,Dani,Male,Nancite
10.80168,-85.69473,10/14/2022,JEUC,Dani,Male,Nancite
10.80369,-85.68534,12/02/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,12/04/2022,AMSTAR,Dani,Male,Naranjo
10.80371,-85.69659,09/28/2022,CALU,Dani,Male,Nancite
10.80371,-85.69659,12/01/2022,CALU,Dani,Male,Nancite
10.76491,-85.65644,11/11/2022,CREW,Dani,Male,Naranjo
10.76491,-85.65644,12/08/2022,CREW,Dani,Male,Naranjo
10.80369,-85.68534,10/22/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,11/17/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,11/19/2022,AMSTAR,Dani,Male,Naranjo
10.76491,-85.65644,06/24/2022,CREW,Dani,Male,Naranjo
10.76491,-85.65644,11/22/2022,CREW,Dani,Male,Naranjo
10.76491,-85.65644,12/11/2022,CREW,Dani,Male,Naranjo
10.80762,-85.70203,08/28/2022,JAEM,Dani,Male,Nancite
10.80762,-85.70203,11/08/2022,JAEM,Dani,Male,Nancite
10.80168,-85.69473,10/12/2022,JEUC,Dani,Male,Nancite
10.80168,-85.69473,11/06/2022,JEUC,Dani,Male,Nancite
10.80168,-85.69473,11/06/2022,JEUC,Dani,Male,Nancite
10.80168,-85.69473,12/12/2022,JEUC,Dani,Male,Nancite
10.80762,-85.70203,08/27/2022,JAEM,Dani,Male,Nancite
10.80762,-85.70203,09/14/2022,JAEM,Dani,Male,Nancite
10.80762,-85.70203,09/15/2022,JAEM,Dani,Male,Nancite
10.80762,-85.70203,09/16/2022,JAEM,Dani,Male,Nancite
10.80762,-85.70203,11/28/2022,JAEM,Dani,Male,Nancite
10.80371,-85.69659,09/09/2022,CALU,Dani,Male,Nancite
10.80369,-85.68534,05/05/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,06/11/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,09/21/2022,AMSTAR,Dani,Male,Naranjo
10.78557,-85.66902,10/31/2022,LINA,Dani,Male,Naranjo
10.80762,-85.70203,08/31/2022,LUCI,Dani,Male,Nancite
10.80762,-85.70203,09/11/2022,LUCI,Dani,Male,Nancite
10.80762,-85.70203,09/29/2022,LUCI,Dani,Male,Nancite
10.80762,-85.70203,09/30/2022,LUCI,Dani,Male,Nancite
10.80762,-85.70203,10/13/2022,LUCI,Dani,Male,Nancite
10.80762,-85.70203,10/26/2022,LUCI,Dani,Male,Nancite
10.80762,-85.70203,11/07/2022,LUCI,Dani,Male,Nancite
10.80762,-85.70203,11/09/2022,LUCI,Dani,Male,Nancite
10.80762,-85.70203,11/10/2022,LUCI,Dani,Male,Nancite
10.80762,-85.70203,11/25/2022,LUCI,Dani,Male,Nancite
10.80371,-85.69659,10/11/2022,CALU,Dani,Male,Nancite
10.80369,-85.68534,08/15/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,09/13/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,09/25/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,10/09/2022,AMSTAR,Dani,Male,Naranjo
